id,x,y,year,month,day,date,n_day
1,2013 01,87.5,2013,01,1,01-01-13,0
2,2013 02,90.1,2013,02,1,01-02-13,31
3,2013 03,93.6,2013,03,1,01-03-13,59
4,2013 04,92.6,2013,04,1,01-04-13,90
5,2013 05,96.9,2013,05,1,01-05-13,120
6,2013 06,98.2,2013,06,1,01-06-13,151
7,2013 07,99.4,2013,07,1,01-07-13,181
8,2013 08,95.7,2013,08,1,01-08-13,212
9,2013 09,97.4,2013,09,1,01-09-13,243
10,2013 10,100.6,2013,10,1,01-10-13,273
11,2013 11,110.2,2013,11,1,01-11-13,304
12,2013 12,132.2,2013,12,1,01-12-13,334
13,2014 01,92,2014,01,1,01-01-14,365
14,2014 02,93.8,2014,02,1,01-02-14,396
15,2014 03,96.7,2014,03,1,01-03-14,424
16,2014 04,101,2014,04,1,01-04-14,455
17,2014 05,100.9,2014,05,1,01-05-14,485
18,2014 06,102.3,2014,06,1,01-06-14,516
19,2014 07,102.3,2014,07,1,01-07-14,546
20,2014 08,99.5,2014,08,1,01-08-14,577
21,2014 09,99.1,2014,09,1,01-09-14,608
22,2014 10,104.9,2014,10,1,01-10-14,638
23,2014 11,117,2014,11,1,01-11-14,669
24,2014 12,134.7,2014,12,1,01-12-14,699
25,2015 01,94.9,2015,01,1,01-01-15,730
26,2015 02,95.9,2015,02,1,01-02-15,761
27,2015 03,100.7,2015,03,1,01-03-15,789
28,2015 04,100.8,2015,04,1,01-04-15,820
29,2015 05,103.2,2015,05,1,01-05-15,850
30,2015 06,104,2015,06,1,01-06-15,881
31,2015 07,104.3,2015,07,1,01-07-15,911
32,2015 08,100.2,2015,08,1,01-08-15,942
33,2015 09,102.4,2015,09,1,01-09-15,973
34,2015 10,105.9,2015,10,1,01-10-15,1003
35,2015 11,118.7,2015,11,1,01-11-15,1034
36,2015 12,133.2,2015,12,1,01-12-15,1064
37,2016 01,97.2,2016,01,1,01-01-16,1095
38,2016 02,97.5,2016,02,1,01-02-16,1126
39,2016 03,100.9,2016,03,1,01-03-16,1155
40,2016 04,102.6,2016,04,1,01-04-16,1186
41,2016 05,106.1,2016,05,1,01-05-16,1216
42,2016 06,104.9,2016,06,1,01-06-16,1247
43,2016 07,108,2016,07,1,01-07-16,1277
44,2016 08,104.3,2016,08,1,01-08-16,1308
45,2016 09,105.2,2016,09,1,01-09-16,1339
46,2016 10,112.4,2016,10,1,01-10-16,1369
47,2016 11,125.6,2016,11,1,01-11-16,1400
48,2016 12,142.3,2016,12,1,01-12-16,1430
